"Sygnatura czasowa","I confirm that I have read and understood the above statements (check the box), If you are doing the survey in person, check the box when you have signed the consent form.","Are you a native English speaker?","What age group do you belong to?","Gender?","What Field do you study in?","Which Search engine do you normally use? (Pick One)","Which search engines have you used before? (tick all options that apply to you)","Have you used Yippy before participating in the survey?","What was your chosen phrase?","How relevant were the top 10 results in the Google search engine?","How relevant were the top 10 results in the Yippy search engine?","How relevant were the top 10 results in the Google search engine?","How relevant were the top 10 results in the Yippy search engine?","How relevant were the top 10 results in the Google search engine?","How relevant were the top 10 results in the Yippy search engine?","How relevant were the top 10 results in the Google search engine?","How relevant were the top 10 results in the Yippy search engine?","How relevant do the topics appear to the phrase/topic you searched for?","Did you find the feature useful?","How easy did you find Yippy to use?","How would you rate the speed of the search ?","How much do you prefer Google over Yippy","What did you like about Yippy?","What did you not like about Yippy?","How likely are you to return to Yippy?","Any other comments and remarks?","What did you think of our evaluation?","Comment and Remarks on the evaluation?"
"2019/11/22 5:05:30 PM GMT","Confirm","No","18-22","Female","Business School","Google","Google;Baidu;Bing","No","K-pop","1","9","8","4","10","1","5","5","9","9","10","10","7","","","10","yes","7","Baby yoda? really"
"2019/11/25 1:17:13 PM GMT","Confirm","Yes","18-22","Female","Arts and Social Sciences","Google","Google;Yahoo;Bing","No","Psychology","10","9","10","10","10","4","8","8","10","9","10","8","5","The suggestion of clusters","There were very little results for videos (only 2 videos appeared for my search phrase).","3","","10","BABY YODA <3"
"2019/11/25 1:25:04 PM GMT","Confirm","No","18-22","Male","Chemistry, Physics and Mathematics","Google","Google;Yahoo;Bing;AOL;Ask","No","imaginary numbers","9","8","7","9","9","4","4","4","6","8","7","10","5","cluster allows to find similar topics related to search. Handy for studying","Design looks slightly out dated","4","","8",""
"2019/11/25 1:25:14 PM GMT","Confirm","No","18-22","Male","Chemistry, Physics and Mathematics","Google","Google;DuckDuckGo;Ecosia","No","toronto raptors trading kawhi leonard","10","10","9","10","9","9","7","8","8","6","10","6","1","News seemed to be more relevant, whereas google showed outdated news","Nothing appeared to me as 'unlikeable'","5","","10",""
"2019/11/25 1:30:00 PM GMT","Confirm","Yes","18-22","Male","Engineering","Google","Google;Yahoo;Bing","No","basketball teams","9","8","10","10","10","9","10","10","10","10","9","10","5","like how clustering feature helps narrow down search","design could look better","7","","10",""
"2019/11/25 1:39:14 PM GMT","Confirm","No","18-22","Male","Life Sciences and Medicine","Google","Yahoo;Bing;DuckDuckGo","No","maillard reaction","10","10","10","10","5","7","3","2","8","9","10","10","9","The Clusters section","The simple design","2","","10",""
"2019/11/25 1:40:05 PM GMT","Confirm","No","18-22","Male","Life Sciences and Medicine","Google","Google;Yahoo;Baidu","No","Developmental Biology","10","7","9","9","8","6","8","1","8","6","10","7","5","there are sub-categories for the search ","not many relevant videos ","6","","10",""
"2019/11/25 1:46:29 PM GMT","Confirm","Yes","41-50","Female","Arts and Social Sciences","Safari","Google;Yahoo;Yandex;Bing;DuckDuckGo;Excite;AOL;Ask;Mozilla, Firefox","No","eco-friendly yoga mats","9","9","8","8","7","10","9","7","8","8","8","10","5","Numbering of results. Less comercial than GOogle.","New format. ANything less familiar than Google takes awhile to get familiar with.","1","i mentioned that I might use Yippy if I came across it by chance but might not try to find it of my own accord. Also mentioned that I thought some of the questions were poorly worded (e.g. forcing me to choose GOogle over Yippy when I don't really like either)","6","Think whomever the Supervisor was could have suggested less either/or choices that forced us into Yippy or Google."
"2019/11/25 1:53:15 PM GMT","Confirm","No","31-40","Female","Computer Science","Google","Google;Yahoo;Bing","No","pulsars","9","8","7","10","9","10","9","10","8","10","10","7","6","the clustering is very useful and the results are pretty relevant","slow","10","","10",""
"2019/11/25 1:54:17 PM GMT","Confirm","No","18-22","Female","Life Sciences and Medicine","Google","Google;Yahoo;Bing","No","Ribozyme activity","9","9","7","9","9","1","7","9","10","10","8","7","6","The clustering feature","Speed and layout","8","","9",""
